metric,value
n_pairs,30
error_mean_px,28.7849
error_median_px,0.300235
error_p95_px,86.2855
error_worst_px,628.237
mislock_rate,0.133333
n_mislocks,4
pass@5px,0.866667
pass@4px,0.866667
pass@2px,0.833333
pass@1px,0.833333
pass@subpixel(0.5px),0.666667
error_median_px_located_only,0.216416
error_mean_px_located_only,0.386707
runtime_p50_ms,661.37
runtime_p95_ms,812.993
runtime_mean_ms,674.426
python_version,3.14.3
platform,Windows 11 (AMD64)
processor,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel"
opencv_version,5.0.0
cv2_threads,22
timing_method,"time.perf_counter() around load+localize, per pair, OpenCV using 22 thread(s), no warm-up discarded"
